SAMPLE,NEST,STREAM,VISIT,AGE,SEX,COLLECTION_DATE,PROPORTION_EPT,AVG_PH,MOTU_RICHNESS,LEVINS
BKT2_4,BKT2,LOYAL,2,Nestling,Unknown,26-May-15,0.1791,7.0973,12,0.105770751
BKT2_5,BKT2,LOYAL,2,Nestling,Unknown,26-May-15,0.1791,7.0973,17,0.105770751
BKT2_1,BKT2,LOYAL,2,Nestling,Unknown,26-May-15,0.1791,7.0973,23,0.105770751
BKT2_10,BKT2,LOYAL,1,Nestling,Unknown,25-May-15,0.1791,7.0973,26,0.105770751
BKT9_1,BKT9,POWD,1,Nestling,Unknown,29-May-15,0.2044,6.8477,24,0.214268775
BKT9_8,BKT9,POWD,2,Nestling,Unknown,1-Jun-15,0.2044,6.8477,25,0.214268775
BKT9_5,BKT9,POWD,2,Nestling,Unknown,1-Jun-15,0.2044,6.8477,26,0.214268775
BKT9_3,BKT9,POWD,1,Nestling,Unknown,29-May-15,0.2044,6.8477,28,0.214268775
BKT9_4,BKT9,POWD,1,Nestling,Unknown,29-May-15,0.2044,6.8477,31,0.214268775
BKT9_6,BKT9,POWD,2,Nestling,Unknown,1-Jun-15,0.2044,6.8477,32,0.214268775
BKT9_2,BKT9,POWD,1,Nestling,Unknown,29-May-15,0.2044,6.8477,35,0.214268775
BKT9_7,BKT9,POWD,2,Nestling,Unknown,1-Jun-15,0.2044,6.8477,37,0.214268775
MMP2_4,MMP2,POWD,1,Nestling,Unknown,26-May-15,0.214,6.8031,27,0.301422925
MMP2_5,MMP2,POWD,1,Nestling,Unknown,26-May-15,0.214,6.8031,28,0.301422925
MMP2_3,MMP2,POWD,1,Nestling,Unknown,26-May-15,0.214,6.8031,29,0.301422925
MMP2_9,MMP2,POWD,2,Nestling,Unknown,28-May-15,0.214,6.8031,34,0.301422925
MMP2_7,MMP2,POWD,2,Nestling,Unknown,28-May-15,0.214,6.8031,37,0.301422925
MMP2_8,MMP2,POWD,2,Nestling,Unknown,28-May-15,0.214,6.8031,37,0.301422925
MMP2_6,MMP2,POWD,2,Nestling,Unknown,28-May-15,0.214,6.8031,50,0.301422925
MMP1_5,MMP1,POWD,1,Nestling,Unknown,25-May-15,0.2296,6.3421,20,0.147628458
MMP1_2,MMP1,POWD,1,Nestling,Unknown,25-May-15,0.2296,6.3421,22,0.147628458
MMP1_3,MMP1,POWD,1,Nestling,Unknown,25-May-15,0.2296,6.3421,27,0.147628458
MMP1_1,MMP1,POWD,1,Nestling,Unknown,25-May-15,0.2296,6.3421,28,0.147628458
MMP1_4,MMP1,POWD,1,Nestling,Unknown,25-May-15,0.2296,6.3421,29,0.147628458
BKT1_11,BKT1,LOYAL,2,Nestling,Unknown,20-May-15,0.2695,7.0441,7,0.200079051
BKT1_6,BKT1,LOYAL,2,Nestling,Unknown,20-May-15,0.2695,7.0441,14,0.200079051
BKT1_5,BKT1,LOYAL,1,Nestling,Unknown,18-May-15,0.2695,7.0441,22,0.200079051
BKT1_7,BKT1,LOYAL,2,Nestling,Unknown,20-May-15,0.2695,7.0441,23,0.200079051
BKT1_4,BKT1,LOYAL,1,Nestling,Unknown,18-May-15,0.2695,7.0441,29,0.200079051
BKT1_8,BKT1,LOYAL,2,Nestling,Unknown,20-May-15,0.2695,7.0441,29,0.200079051
BKT1_2,BKT1,LOYAL,1,Nestling,Unknown,18-May-15,0.2695,7.0441,31,0.200079051
BKT1_10,BKT1,LOYAL,2,Nestling,Unknown,20-May-15,0.2695,7.0441,33,0.200079051
BKT1_1,BKT1,LOYAL,1,Nestling,Unknown,18-May-15,0.2695,7.0441,36,0.200079051
